Field Name,Queryable,Level,Type,Example (package_search),Notes,Source
archived,Yes,Dataset,boolean,archived:true,,gibraltar test fixture
author,,Dataset,text,,,schema.xml
author_email,,Dataset,text,,,schema.xml
batch,Yes,Dataset,text,batch:116ab051-4151-4a78-a61f-f57204df18e6,,gibraltar test fixture
capacity,,Dataset,text,,,schema.xml
caveats,Yes,Dataset,text,caveats:HDX\ HAPI*,,gibraltar test fixture
child_of,,Dataset,text,,,schema.xml
ckan_url,,Dataset,text,,,schema.xml
creator_user_id,Yes,Dataset,text,creator_user_id:a410b53c-3466-4517-a7d7-*,,gibraltar test fixture
data_dict,,Dataset,text,,,schema.xml
data_update_frequency,Yes,Dataset,text,data_update_frequency:90,,gibraltar test fixture
dataseries_name,Yes,Dataset,string,"dataseries_name:""Global Healthsites Mapping Project - Healthsites""",,Alex
dataset_date,No,Dataset,text,,,gibraltar test fixture
dataset_preview,Yes,Dataset,text,dataset_preview:first_resource,,gibraltar test fixture
dataset_source,Yes,Dataset,text,"dataset_source: ""OpenStreetMap contributors""",,gibraltar test fixture
dataset_type,,Dataset,text,,,schema.xml
dependency_of,,Dataset,text,,,schema.xml
depends_on,,Dataset,text,,,schema.xml
derives_from,,Dataset,text,,,schema.xml
due_date,No,Dataset,date,"due_date:""2024-05-08T17:22:36Z""","We need the ""Z"" at the end of the date!",gibraltar test fixture
entity_type,,Dataset,text,,,schema.xml
extras_archived,Yes,Dataset,text,extras_archived:true,,Alex
extras_data_update_frequency,Yes,Dataset,text,extras_data_update_frequency:7,,Alex
extras_dataset_source,,Dataset,text,"extras_dataset_source: ""OpenStreetMap contributors""",,Alex
extras_is_requestdata_type,Yes,Dataset,text,extras_is_requestdata_type:true,,Alex
extras_subnational,Yes,Dataset,text,extras_subnational:1,,Alex
groups,No,Dataset,text,,groups is searchable but not specifically,gibraltar test fixture
has_derivation,,Dataset,text,,,schema.xml
has_geodata,Yes,Dataset,boolean,has_geodata:true,,Alex
has_quickcharts,Yes,Dataset,boolean,has_quickcharts:true,,Alex
has_showcases,Yes,Dataset,boolean,has_showcases:true,,Alex
id,Yes,Dataset,text,id:0f118f3f-44f7-4c6a-976d-a736e33b6cba,,gibraltar test fixture
index_id,,Dataset,text,,,schema.xml
is_requestdata_type,Yes,Dataset,boolean,is_requestdata_type:true,,gibraltar test fixture
isopen,Yes,Dataset,boolean,isopen:true,,gibraltar test fixture
last_modified,Yes,Dataset,date,"last_modified:""2024-02-08T17:22:36.996309Z""",,gibraltar test fixture
license,No,Dataset,text,,,schema.xml
license_id,Yes,Dataset,text,license_id:ODbL,,gibraltar test fixture
license_title,Yes,Dataset,text,license_title:ODbL,,gibraltar test fixture
linked_from,,Dataset,text,,,schema.xml
links_to,,Dataset,text,,,schema.xml
maintainer,Yes,Dataset,text,maintainer:a68dc722-a926-468b-92e8-84fe337ed173,The CKAN user id,Alex
maintainer_email,,Dataset,text,,Querying for maintainer_email:* returns datasets but they don't have the maintainer_email key,schema.xml
metadata_created,Yes,Dataset,text,"metadata_created:""2019-12-04T10:23:27.806321Z""",,gibraltar test fixture
metadata_modified,Yes,Dataset,text,"metadata_modified:""2024-04-24T08:16:39.337098Z""",,schema.xml
methodology,Yes,Dataset,string,"methodology:""Social Media and institutional sharing""",,Alex
name,Yes,Dataset,text,name:gibraltar-healthsites,,gibraltar test fixture
notes,Yes,Dataset,text,"notes:""The dataset*""",,gibraltar test fixture
num_of_showcases,Yes,Dataset,int,num_of_showcases:1,,Alex
num_resources,Yes,Dataset,text,num_resources:1,,gibraltar test fixture
num_tags,Yes,Dataset,text,num_tags:1,,gibraltar test fixture
organization,Yes,Dataset,text,organization:*healthsites,,gibraltar test fixture
overdue_date,Yes,Dataset,text,"overdue_date:""2024-11-09T12:01:37Z""",,gibraltar test fixture
