Field Name,Queryable,Level,Type,Example (package_search),Notes,Source
owner_org,Yes,Dataset,text,owner_org:a1c0e6c7-a3e4-4db3-9955-cec338e8e935,,gibraltar test fixture
package_creator,Yes,Dataset,text,package_creator:Amadou,,gibraltar test fixture
pageviews_last_14_days,Yes,Dataset,int,pageviews_last_14_days:10,,Alex
parent_of,No,Dataset,text,,This is queryable but does not appear in responses,schema.xml
permission_labels,No,Dataset,text,,,schema.xml
qa_completed,Yes,Dataset,boolean,qa_completed:true,,gibraltar test fixture
relationships_as_object,No,Dataset,text,,,gibraltar test fixture
relationships_as_subject,No,Dataset,text,,,gibraltar test fixture
res_alt_url,No,Resource,text,,,gibraltar test fixture
res_cache_last_updated,No,Resource,text,,,gibraltar test fixture
res_cache_url,No,Resource,text,,,gibraltar test fixture
res_created,No,Resource,text,,,gibraltar test fixture
res_datastore_active,No,Resource,text,,,gibraltar test fixture
res_description,Yes,Resource,text,res_description:Conflict*,,gibraltar test fixture
res_download_url,No,Resource,text,,,gibraltar test fixture
res_extras_broken_link,Yes,Resource,text,res_extras_broken_link:true,,Alex
res_extras_in_hapi,Yes,Resource,text,res_extras_in_hapi:yes,,Alex
res_extras_in_quarantine,No,Resource,text,,,Alex
res_format,Yes,Resource,text,res_format:CSV,,gibraltar test fixture
res_hash,No,Resource,text,,,gibraltar test fixture
res_hdx_rel_url,No,Resource,text,,,gibraltar test fixture
res_id,No,Resource,text,,,gibraltar test fixture
res_last_modified,No,Resource,text,,,gibraltar test fixture
res_metadata_modified,No,Resource,text,,,gibraltar test fixture
res_microdata,No,Resource,text,,,gibraltar test fixture
res_mimetype,No,Resource,text,,,gibraltar test fixture
res_mimetype_inner,No,Resource,text,,,gibraltar test fixture
res_name,Yes,Resource,text,res_name:gibraltar-healthsites-csv-with-hxl-tags,,gibraltar test fixture
res_package_id,No,Resource,text,,,gibraltar test fixture
res_position,No,Resource,int,,,gibraltar test fixture
res_quickcharts,No,Resource,text,,,gibraltar test fixture
res_resource_type,No,Resource,text,,,gibraltar test fixture
res_shape_info,No,Resource,text,,,gibraltar test fixture
res_size,No,Resource,text,,,gibraltar test fixture
res_state,No,Resource,text,,,gibraltar test fixture
res_url,Yes,Resource,text,"res_url:""https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/TWN/roads/lines/hotosm_twn_roads_lines_shp.zip""",,gibraltar test fixture
res_url_type,No,Resource,text,,,gibraltar test fixture
resources,No,Dataset,list of dicts,,,gibraltar test fixture
resources_accessed_recent,No,Dataset,text,,,schema.xml
resources_accessed_total,No,Dataset,text,,,schema.xml
review_date,Yes,Dataset,date,"review_date:""2024-01-15T09:40:20.630526Z""",Date when contributor reviewed dataset and marked it as being up-to-date,Alex
revision_id,No,Dataset,text,,,schema.xml
site_id,No,Dataset,text,,"Queryable but not in responses, it is pre-pended to all searches",schema.xml
solr_additions,Yes,Dataset,text,"solr_additions:""{\""countries\"":[\""Nepal\""]}""",,gibraltar test fixture
state,Yes,Dataset,text,state:active,"Queryable but pointless because everything is ""active""",gibraltar test fixture
subnational,Yes,Dataset,text,subnational:1,,gibraltar test fixture
title,Yes,Dataset,text,"title:""Nepal Buildings (OpenStreetMap Export)""",,gibraltar test fixture
total_res_downloads,Yes,Dataset,int,total_res_downloads:10,Total resource downloads,Alex
type,Yes,Dataset,text,type:dataset,Everything is a dataset,gibraltar test fixture
updated_by_script,Yes,Dataset,text,"updated_by_script:""HDXPythonLibrary/6.2.8-HDXPythonLibrary/6.2.0-HOTOSM%20OSM%20Exports%20(2024-11-08T07:03:17.935403)""",,gibraltar test fixture
url,Yes,Dataset,text,fq=url:[* TO *],This gives us non-null entries,gibraltar test fixture
validated_data_dict,No,Dataset,text,,,schema.xml
version,No,Dataset,text,,,gibraltar test fixture
views_recent,No,Dataset,text,,Queryable but pointless,schema.xml
views_total,No,Dataset,text,,,schema.xml
vocab_Topics,Yes,Dataset,text,vocab_Topics:disability,This actually queries tags,schema.xml
